rank,feature,importance,pct
1,volatility_24,210,7.777777777777778
2,adx_14,159,5.888888888888888
3,atr_14,157,5.814814814814815
4,obv_z_48,138,5.111111111111112
5,spread_pct,135,5.0
6,bb_width,130,4.814814814814815
7,close_in_range_24,127,4.703703703703703
8,macd_pct,124,4.592592592592593
9,vol_ratio_6_24,117,4.333333333333334
10,spread,113,4.185185185185185
11,obv_delta_12,102,3.7777777777777777
12,return_4,95,3.5185185185185186
13,spread_z_24,95,3.5185185185185186
14,volume,86,3.185185185185185
15,bb_position,78,2.888888888888889
16,return_12,75,2.7777777777777777
17,tick_count_z_24,74,2.740740740740741
18,range_pct,73,2.7037037037037037
19,hour_cos,72,2.666666666666667
20,rsi_14,70,2.5925925925925926
21,body_pct,68,2.5185185185185186
22,ema_26,58,2.148148148148148
23,lower_wick_pct,58,2.148148148148148
24,ema_12,54,2.0
25,upper_wick_pct,53,1.9629629629629628
26,tick_count,50,1.8518518518518516
27,hour_sin,43,1.5925925925925926
28,dow_cos,42,1.5555555555555556
29,dow_sin,37,1.3703703703703705
30,log_tick_count,7,0.25925925925925924
